Family,Taxon,Specimen No.,Sex,ThL,LuL,PreL,PosL,TL,TH,TW,DL,DH,DW,LL,LH,LW
Phocidae,Ommatophoca rossii,BMNH 1965.12.20.1,M,659.0,300.9,384.0,575.9,41.8,28.0,44.3,45.3,31.2,49.2,63.2,42.9,48.7
Phocidae,Pagophillus groenlandica,MCZ BOM 1146,?,465.2,252.2,270.4,447.0,27.8,20.9,27.5,31.2,22.5,34.0,53.6,38.0,32.1
Phocidae,Pagophilus groenlandicus,UMZC K.8283,?,450.2,231.5,262.8,419.0,24.9,22.8,28.2,30.0,23.0,36.7,48.1,31.6,36.1
Phocidae,Pagophilus groenlandicus,UMZC K.8285,?,459.1,228.8,269.6,418.3,28.0,23.0,30.0,31.0,23.8,37.3,47.4,29.6,36.0
Phocidae,Phoca vitulina,UMZC K.8173,?,386.1,188.5,257.3,317.3,23.4,17.2,24.9,28.3,19.9,28.3,34.0,25.6,28.6
Phocidae,Phoca vitulina,UMZC K.8088,?,439.2,207.4,291.5,355.0,24.9,22.9,28.1,31.6,24.0,35.5,42.0,35.9,36.9
Phocidae,Phoca vitulina,UMZC K.8084,?,398.7,194.3,265.7,327.3,24.1,20.2,24.2,28.8,21.8,30.8,39.8,30.9,32.0
Phocidae,Pusa hispida,BMNH 1997.585,?,361.5,182.4,233.0,310.9,21.4,19.2,23.9,23.6,20.0,29.6,32.9,29.9,32.7
Odobenidae,Odobenus rosmarus,UMZC K.7495,M,847.5,395.9,715.9,527.5,61.5,46.2,62.2,64.0,46.2,74.6,65.8,53.0,64.8
Odobenidae,Odobenus rosmarus,BMNH 331.h,?,866.2,405.0,729.1,542.1,62.7,46.2,64.4,67.4,47.9,74.5,69.3,52.4,64.6
Odobenidae,Odobenus rosmarus,UMZC K7489,?,857.2,400.4,727.8,529.9,60.4,43.6,59.5,62.5,46.0,69.1,67.4,50.8,57.9
